Average # Loops/Session,Group
0.546875,I
1.923728814,I
0.480620155,I
0.647058824,I
0.632183908,I
0.269230769,I
0.320610687,I
1.551724138,I
0.409090909,I
0.01369863,I
0.113207547,I
0.425531915,I
0.898305085,I
0.25,I
0.133333333,I
0.104575163,I
0.227848101,I
0.540540541,I
0.162162162,I
0,I
0,I
0,I
0,I
0,I
0,I
0.666666667,G
0.2,G
0.172839506,G
0.225,G
0.655172414,G
0.982142857,G
0.344444444,G
0.384615385,G
1.089430894,G
0.164948454,G
0.202898551,G
1.230215827,G
2.185393258,G
0.324675325,G
0.631205674,G
0.415384615,G
0.222222222,G
0.05952381,G
0.78358209,G
0.22972973,G
0.837837838,G
0,G
0,G
0,G
0,G
0,G